,taxon,structural_zero (Microcompartment = Endosphere),structural_zero (Microcompartment = Phyllosphere),structural_zero (Microcompartment = Rhizosphere)
7203,ASV9210,TRUE,TRUE,FALSE
7204,ASV9211,TRUE,TRUE,FALSE
7205,ASV9212,TRUE,TRUE,FALSE
7206,ASV9213,TRUE,TRUE,FALSE
7207,ASV9214,TRUE,TRUE,FALSE
7208,ASV9215,TRUE,TRUE,FALSE
7209,ASV9216,TRUE,TRUE,FALSE
7210,ASV9217,TRUE,TRUE,FALSE
7211,ASV9218,TRUE,TRUE,FALSE
7212,ASV9220,TRUE,FALSE,FALSE
7213,ASV9221,FALSE,TRUE,TRUE
7214,ASV9222,FALSE,FALSE,FALSE
7215,ASV9223,FALSE,FALSE,TRUE
7216,ASV9224,TRUE,FALSE,TRUE
7217,ASV9225,TRUE,FALSE,TRUE
7218,ASV9226,TRUE,FALSE,TRUE
7219,ASV9227,TRUE,FALSE,FALSE
7220,ASV9228,TRUE,FALSE,TRUE
7221,ASV9229,TRUE,FALSE,TRUE
7222,ASV9230,TRUE,FALSE,TRUE
7223,ASV9231,TRUE,FALSE,TRUE
7224,ASV9232,TRUE,FALSE,FALSE
7225,ASV9234,TRUE,FALSE,TRUE
7226,ASV9237,TRUE,FALSE,TRUE
7227,ASV9238,TRUE,FALSE,TRUE
7228,ASV9239,TRUE,FALSE,TRUE
7229,ASV9240,TRUE,FALSE,FALSE
7230,ASV9242,TRUE,FALSE,TRUE
7231,ASV9243,TRUE,FALSE,TRUE
7232,ASV9246,TRUE,FALSE,TRUE
7233,ASV9247,TRUE,FALSE,TRUE
7234,ASV9253,TRUE,TRUE,FALSE
7235,ASV9255,TRUE,TRUE,FALSE
7236,ASV9256,TRUE,TRUE,FALSE
7237,ASV9257,TRUE,TRUE,FALSE
7238,ASV9258,TRUE,TRUE,FALSE
7239,ASV9259,TRUE,TRUE,FALSE
7240,ASV9260,TRUE,TRUE,FALSE
7241,ASV9261,TRUE,TRUE,FALSE
7242,ASV9262,TRUE,TRUE,FALSE
7243,ASV9264,TRUE,TRUE,FALSE
7244,ASV9266,TRUE,TRUE,FALSE
7245,ASV9270,TRUE,FALSE,TRUE
7246,ASV9271,TRUE,FALSE,TRUE
7247,ASV9272,TRUE,FALSE,TRUE
7248,ASV9273,TRUE,FALSE,TRUE
7249,ASV9274,TRUE,FALSE,FALSE
7250,ASV9277,TRUE,FALSE,TRUE
7251,ASV9278,TRUE,FALSE,TRUE
7252,ASV9281,TRUE,FALSE,TRUE
7253,ASV9282,TRUE,FALSE,TRUE
7254,ASV9283,TRUE,FALSE,TRUE
7255,ASV9286,TRUE,FALSE,TRUE
7256,ASV9288,TRUE,FALSE,TRUE
7257,ASV9289,TRUE,FALSE,TRUE
7258,ASV9290,TRUE,FALSE,TRUE
7259,ASV9293,TRUE,FALSE,TRUE
7260,ASV9296,TRUE,FALSE,TRUE
7261,ASV9297,TRUE,FALSE,TRUE
7262,ASV9298,TRUE,FALSE,TRUE
7263,ASV9299,TRUE,FALSE,TRUE
7264,ASV9300,TRUE,FALSE,TRUE
7265,ASV9301,TRUE,TRUE,FALSE
7266,ASV9302,TRUE,TRUE,FALSE
7267,ASV9304,TRUE,FALSE,TRUE
7268,ASV9305,TRUE,FALSE,TRUE
7269,ASV9306,TRUE,FALSE,TRUE
7270,ASV9307,TRUE,TRUE,FALSE
7271,ASV9308,TRUE,TRUE,FALSE
7272,ASV9309,TRUE,TRUE,FALSE
7273,ASV9310,TRUE,FALSE,TRUE
7274,ASV9311,TRUE,FALSE,TRUE
7275,ASV9312,TRUE,FALSE,TRUE
