,taxon,W,p_val,q_val,diff_abn,passed_ss
357,ASV758,337.906.070.752.815,0.276488515,1,FALSE,TRUE
358,ASV759,478.697.709.933.584,0.076745271,1,FALSE,TRUE
359,ASV763,432.240.368.340.959,0.200136151,1,FALSE,FALSE
360,ASV764,NA,1,1,FALSE,FALSE
361,ASV767,491.667.082.062.936,0.055131043,1,FALSE,TRUE
362,ASV770,106.381.926.503.224,0.003666015,1,FALSE,FALSE
363,ASV773,543.728.024.218.504,0.089905516,1,FALSE,FALSE
364,ASV775,172.608.937.410.559,0.511549859,1,FALSE,TRUE
365,ASV784,893.280.110.006.295,0.009921934,1,FALSE,FALSE
366,ASV787,312.876.099.066.394,0.213921724,1,FALSE,TRUE
367,ASV788,756.499.420.776.589,1.27E+09,0.008803071,TRUE,TRUE
368,ASV790,2.064.042.297.846,0.00138892,0.850097673,FALSE,FALSE
369,ASV797,165.376.625.445.835,0.023279843,1,FALSE,FALSE
370,ASV798,110.124.905.595.813,0.005937253,1,FALSE,FALSE
371,ASV807,101.807.356.484.745,0.034515876,1,FALSE,FALSE
372,ASV809,759.399.225.217.996,0.061055192,1,FALSE,TRUE
373,ASV810,214.135.826.690.276,0.001227457,0.757341141,FALSE,TRUE
374,ASV815,595.123.322.516.157,0.180644461,1,FALSE,FALSE
375,ASV817,7.298.039.604.653,0.065770636,1,FALSE,FALSE
376,ASV826,902.048.326.386.484,0.014158634,1,FALSE,FALSE
377,ASV828,979.381.904.174.726,0.142538829,1,FALSE,TRUE
378,ASV829,0.310747934,0.514979767,1,FALSE,TRUE
379,ASV835,444.319.030.861.028,0.130953283,1,FALSE,TRUE
380,ASV836,0.282158526,0.472732536,1,FALSE,TRUE
381,ASV839,14.147.480.768.492,0.686076666,1,FALSE,TRUE
382,ASV841,443.490.941.492.833,0.156055125,1,FALSE,TRUE
383,ASV846,475.261.850.438.606,0.099356654,1,FALSE,TRUE
384,ASV847,426.464.475.839.623,0.091566404,1,FALSE,TRUE
385,ASV851,603.148.409.466.518,0.073302096,1,FALSE,FALSE
386,ASV853,954.824.375.815.441,0.059987133,1,FALSE,TRUE
387,ASV860,570.040.198.438.596,0.067911659,1,FALSE,FALSE
388,ASV863,175.489.166.331.266,0.567407621,1,FALSE,FALSE
389,ASV874,0.896458729,0.929638632,1,FALSE,TRUE
390,ASV875,453.974.760.499.129,0.108872877,1,FALSE,TRUE
391,ASV880,705.362.276.509.593,0.024563601,1,FALSE,FALSE
392,ASV883,129.537.351.183.246,0.006197384,1,FALSE,FALSE
393,ASV886,0.652740747,0.92068702,1,FALSE,TRUE
394,ASV888,358.891.590.438.945,0.000918138,0.575672714,FALSE,FALSE
395,ASV894,0.23908607,0.40828313,1,FALSE,TRUE
