,taxon,structural_zero (Plant.condition = Diseased),structural_zero (Plant.condition = Healthy)
3841,ASV4714,TRUE,FALSE
3842,ASV4716,FALSE,FALSE
3843,ASV4717,FALSE,FALSE
3844,ASV4718,FALSE,FALSE
3845,ASV4719,FALSE,TRUE
3846,ASV4720,FALSE,FALSE
3847,ASV4721,FALSE,FALSE
3848,ASV4722,FALSE,FALSE
3849,ASV4724,FALSE,FALSE
3850,ASV4725,FALSE,FALSE
3851,ASV4726,FALSE,FALSE
3852,ASV4729,FALSE,FALSE
3853,ASV4730,FALSE,TRUE
3854,ASV4732,FALSE,TRUE
3855,ASV4733,FALSE,TRUE
3856,ASV4734,FALSE,FALSE
3857,ASV4735,FALSE,TRUE
3858,ASV4736,TRUE,FALSE
3859,ASV4737,TRUE,FALSE
3860,ASV4740,FALSE,FALSE
3861,ASV4741,TRUE,FALSE
3862,ASV4742,FALSE,FALSE
3863,ASV4743,TRUE,FALSE
3864,ASV4744,FALSE,FALSE
3865,ASV4745,FALSE,FALSE
3866,ASV4746,FALSE,FALSE
3867,ASV4747,FALSE,FALSE
3868,ASV4748,FALSE,FALSE
3869,ASV4749,FALSE,FALSE
3870,ASV4750,FALSE,FALSE
3871,ASV4751,TRUE,FALSE
3872,ASV4752,FALSE,FALSE
3873,ASV4753,TRUE,FALSE
3874,ASV4754,FALSE,FALSE
3875,ASV4755,TRUE,FALSE
3876,ASV4756,FALSE,FALSE
3877,ASV4757,FALSE,FALSE
3878,ASV4759,FALSE,TRUE
3879,ASV4760,FALSE,TRUE
3880,ASV4761,FALSE,TRUE
3881,ASV4762,FALSE,FALSE
3882,ASV4763,TRUE,FALSE
3883,ASV4764,FALSE,TRUE
3884,ASV4765,FALSE,TRUE
3885,ASV4766,FALSE,TRUE
3886,ASV4767,FALSE,TRUE
3887,ASV4768,FALSE,FALSE
3888,ASV4769,FALSE,FALSE
3889,ASV4771,FALSE,FALSE
3890,ASV4773,FALSE,TRUE
3891,ASV4774,TRUE,FALSE
3892,ASV4775,TRUE,FALSE
3893,ASV4778,FALSE,FALSE
3894,ASV4779,FALSE,FALSE
3895,ASV4780,FALSE,TRUE
3896,ASV4781,FALSE,FALSE
3897,ASV4782,FALSE,TRUE
3898,ASV4783,FALSE,TRUE
3899,ASV4785,FALSE,TRUE
3900,ASV4786,TRUE,FALSE
3901,ASV4787,TRUE,FALSE
3902,ASV4788,TRUE,FALSE
3903,ASV4789,FALSE,FALSE
3904,ASV4790,FALSE,TRUE
3905,ASV4792,FALSE,FALSE
3906,ASV4794,TRUE,FALSE
3907,ASV4795,FALSE,FALSE
3908,ASV4796,TRUE,FALSE
3909,ASV4797,TRUE,FALSE
3910,ASV4798,FALSE,FALSE
3911,ASV4800,FALSE,FALSE
3912,ASV4801,FALSE,FALSE
3913,ASV4802,FALSE,FALSE
3914,ASV4805,FALSE,FALSE
3915,ASV4807,FALSE,FALSE
3916,ASV4809,FALSE,FALSE
3917,ASV4810,FALSE,FALSE
3918,ASV4811,FALSE,FALSE
3919,ASV4812,FALSE,FALSE
3920,ASV4813,FALSE,FALSE
3921,ASV4814,FALSE,FALSE
3922,ASV4815,FALSE,FALSE
3923,ASV4816,FALSE,FALSE
3924,ASV4818,TRUE,FALSE
3925,ASV4819,FALSE,FALSE
3926,ASV4820,FALSE,FALSE
3927,ASV4821,FALSE,TRUE
3928,ASV4822,FALSE,FALSE
3929,ASV4823,FALSE,TRUE
3930,ASV4824,FALSE,FALSE
3931,ASV4825,FALSE,FALSE
3932,ASV4826,TRUE,FALSE
3933,ASV4827,TRUE,FALSE
3934,ASV4828,FALSE,FALSE
3935,ASV4829,FALSE,FALSE
3936,ASV4830,FALSE,FALSE
3937,ASV4831,FALSE,FALSE
3938,ASV4832,FALSE,FALSE
3939,ASV4834,FALSE,FALSE
3940,ASV4836,TRUE,FALSE
3941,ASV4837,TRUE,FALSE
3942,ASV4838,FALSE,FALSE
3943,ASV4839,FALSE,FALSE
3944,ASV4840,FALSE,FALSE
3945,ASV4841,FALSE,FALSE
3946,ASV4842,FALSE,FALSE
3947,ASV4844,TRUE,FALSE
3948,ASV4845,FALSE,FALSE
3949,ASV4846,FALSE,FALSE
3950,ASV4847,FALSE,TRUE
3951,ASV4848,TRUE,FALSE
3952,ASV4849,TRUE,FALSE
3953,ASV4850,FALSE,TRUE
3954,ASV4851,FALSE,TRUE
3955,ASV4852,TRUE,FALSE
3956,ASV4854,FALSE,FALSE
3957,ASV4856,TRUE,FALSE
3958,ASV4858,FALSE,FALSE
3959,ASV4859,FALSE,FALSE
3960,ASV4860,FALSE,FALSE
3961,ASV4862,FALSE,FALSE
3962,ASV4863,FALSE,FALSE
3963,ASV4864,TRUE,FALSE
3964,ASV4865,FALSE,FALSE
3965,ASV4866,FALSE,TRUE
3966,ASV4867,FALSE,FALSE
3967,ASV4869,FALSE,FALSE
3968,ASV4870,FALSE,FALSE
3969,ASV4871,TRUE,FALSE
3970,ASV4872,FALSE,FALSE
3971,ASV4873,FALSE,FALSE
3972,ASV4874,FALSE,FALSE
3973,ASV4875,FALSE,TRUE
3974,ASV4877,FALSE,TRUE
3975,ASV4878,FALSE,TRUE
3976,ASV4879,FALSE,TRUE
3977,ASV4881,FALSE,FALSE
3978,ASV4882,FALSE,TRUE
3979,ASV4883,FALSE,TRUE
3980,ASV4884,FALSE,TRUE
3981,ASV4885,FALSE,TRUE
3982,ASV4886,FALSE,TRUE
3983,ASV4888,FALSE,FALSE
3984,ASV4889,FALSE,FALSE
3985,ASV4890,FALSE,FALSE
3986,ASV4892,FALSE,FALSE
3987,ASV4893,TRUE,FALSE
3988,ASV4894,TRUE,FALSE
3989,ASV4895,FALSE,FALSE
3990,ASV4896,FALSE,FALSE
3991,ASV4897,TRUE,FALSE
3992,ASV4898,TRUE,FALSE
3993,ASV4899,FALSE,FALSE
3994,ASV4900,FALSE,FALSE
3995,ASV4901,FALSE,FALSE
3996,ASV4902,FALSE,FALSE
3997,ASV4903,FALSE,FALSE
3998,ASV4904,TRUE,FALSE
3999,ASV4905,TRUE,FALSE
4000,ASV4906,FALSE,FALSE
4001,ASV4908,FALSE,FALSE
4002,ASV4909,FALSE,FALSE
4003,ASV4913,FALSE,FALSE
4004,ASV4914,FALSE,FALSE
4005,ASV4916,FALSE,TRUE
4006,ASV4917,FALSE,TRUE
4007,ASV4918,FALSE,TRUE
4008,ASV4919,FALSE,TRUE
4009,ASV4920,FALSE,TRUE
4010,ASV4921,FALSE,TRUE
4011,ASV4922,FALSE,FALSE
4012,ASV4923,TRUE,FALSE
4013,ASV4924,FALSE,TRUE
4014,ASV4927,FALSE,FALSE
4015,ASV4930,TRUE,FALSE
4016,ASV4931,FALSE,FALSE
4017,ASV4933,FALSE,FALSE
4018,ASV4937,TRUE,FALSE
4019,ASV4938,FALSE,FALSE
4020,ASV4939,TRUE,FALSE
4021,ASV4941,FALSE,FALSE
