"","plant-b1","plant-b2","plant-b3","plant-b4","plant-d1","plant-d2","plant-d3","plant-d4","plant-f1","plant-f2","plant-f3","plant-f4","plant-k1","plant-k2","plant-k3","plant-k4","plant-m1","plant-m2","plant-m3","plant-m4","plant-p1","plant-p2","plant-p3","plant-p4","plant-r1","plant-r2","plant-r3","plant-r4","plant-s1","plant-s2","plant-s3","plant-s4","plant-t1","plant-t2","plant-t3","plant-t4","plant-v1","plant-v2","plant-v3","plant-v4","plant-x1","plant-x2","plant-x3","plant-x4","plant-y1","plant-y2","plant-y3","plant-y4"
"37ae34b617558a230abafb647a7d59c4",134,121,112,239,132,0,0,0,111,81,0,0,154,110,109,286,123,87,126,133,178,828,228,179,71,91,157,85,143,116,127,179,0,0,0,0,142,107,242,253,0,0,0,12,0,0,0,100
"0d0ac1e8374691623be56abbba4dfe5d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,193,0,247,0,0,0,0,482,167,444,0,0,0,0,0,892,668,152,1667,218,0,0,0
"dee7edd23608daf59def7b663a0c7c00",260,285,323,463,0,0,0,0,0,0,0,0,189,100,230,248,228,275,324,313,212,364,308,279,160,145,107,0,0,0,0,0,38,0,0,0,0,0,0,101,73,0,0,60,0,0,124,0
"a0e3a322f7d40901c2ee1296f71ff275",0,0,14,0,0,0,0,0,17,0,0,0,0,0,23,0,0,0,0,0,0,27,33,22,286,0,0,417,0,0,0,0,79,198,56,1361,0,0,0,0,413,84,1533,208,111,184,120,0
"b31ad5148bfa4ec3f0e4c796ddcc3730",420,0,56,137,123,111,137,0,123,71,0,204,0,0,0,176,84,0,75,0,62,0,0,67,115,79,85,0,433,490,0,73,0,0,964,0,77,0,0,271,0,0,86,220,0,0,159,231
"a4a985d004303094217974cafec3d486",759,471,641,692,0,0,0,0,29,21,0,0,0,0,0,0,458,667,588,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,91,147
"831d4f4102024db259f88764ed57a684",98,95,78,125,133,0,94,0,0,0,0,0,82,0,0,104,123,141,292,115,109,175,105,79,404,143,254,0,0,0,0,0,0,0,495,77,0,185,0,100,72,141,406,575,0,0,171,117
"2aadfd5dc6700f9fe66657f15d24ba42",92,0,93,86,0,0,142,0,0,40,114,0,75,0,168,122,94,113,268,88,116,143,105,58,306,124,244,181,0,125,0,0,0,0,446,0,0,156,0,157,132,169,289,479,103,0,173,0
"8bd56b2b558742f23261f0529767a5de",0,0,0,0,123,136,143,198,172,108,132,141,0,0,0,0,0,0,0,0,0,0,0,0,274,198,177,371,166,182,113,138,144,162,99,98,167,107,152,84,127,84,95,103,206,260,107,199
"e555b987f3d865cd9a102f7985131361",0,0,0,0,0,0,0,0,0,0,0,0,340,227,435,564,0,0,0,0,464,1076,751,504,155,49,91,83,0,0,0,25,0,0,84,37,12,0,0,0,0,0,0,0,0,0,0,0
