"plant.b1"	"plant.b2"	"plant.b3"	"plant.b4"	"plant.d1"	"plant.d2"	"plant.d3"	"plant.d4"	"plant.f1"	"plant.f2"	"plant.f3"	"plant.f4"	"plant.k1"	"plant.k2"	"plant.k3"	"plant.k4"	"plant.m1"	"plant.m2"	"plant.m3"	"plant.m4"	"plant.p1"	"plant.p2"	"plant.p3"	"plant.p4"	"plant.r1"	"plant.r2"	"plant.r3"	"plant.r4"	"plant.s1"	"plant.s2"	"plant.s3"	"plant.s4"	"plant.t1"	"plant.t2"	"plant.t3"	"plant.t4"	"plant.v1"	"plant.v2"	"plant.v3"	"plant.v4"	"plant.x1"	"plant.x2"	"plant.x3"	"plant.x4"	"plant.y1"	"plant.y2"	"plant.y3"	"plant.y4"
"ASV93"	134	121	112	239	132	0	0	0	111	81	0	0	154	110	109	286	123	87	126	133	178	828	228	179	71	91	157	85	143	116	127	179	0	0	0	0	142	107	242	253	0	0	0	12	0	0	0	100
"ASV94"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	193	0	247	0	0	0	0	482	167	444	0	0	0	0	0	892	668	152	1667	218	0	0	0
"ASV97"	420	0	56	137	123	111	137	0	123	71	0	204	0	0	0	176	84	0	75	0	62	0	0	67	115	79	85	0	433	490	0	73	0	0	964	0	77	0	0	271	0	0	86	220	0	0	159	231
"ASV99"	98	95	78	125	133	0	94	0	0	0	0	0	82	0	0	104	123	141	292	115	109	175	105	79	404	143	254	0	0	0	0	0	0	0	495	77	0	185	0	100	72	141	406	575	0	0	171	117
"ASV100"	92	0	93	86	0	0	142	0	0	40	114	0	75	0	168	122	94	113	268	88	116	143	105	58	306	124	244	181	0	125	0	0	0	0	446	0	0	156	0	157	132	169	289	479	103	0	173	0
"ASV103"	330	331	310	377	0	0	0	0	0	0	0	0	186	135	266	271	265	238	301	262	132	535	293	184	0	81	0	0	0	0	0	0	0	0	0	21	0	0	0	0	62	23	0	51	15	110	108	0
"ASV104"	361	305	326	353	0	0	0	0	0	0	0	0	272	174	214	232	224	288	291	289	223	540	339	260	0	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV108"	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	59	0	0	113	2692	0	28	0	0	0	0	83	0	0	0	0	1537	0	0	0
"ASV109"	300	223	242	219	0	0	0	0	0	0	0	0	209	165	415	283	134	215	195	214	207	527	370	166	119	138	77	143	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	34	0	0	0	0
"ASV110"	150	121	169	222	200	95	173	237	106	244	0	129	104	0	0	0	155	176	200	161	144	176	306	105	145	54	0	49	0	0	0	193	0	0	18	0	249	162	0	0	0	35	207	0	0	0	148	0
