"taxon" "structural_zero (Microcompartment = Endosphere)" "structural_zero (Microcompartment = Phyllosphere)" "structural_zero (Microcompartment = Rhizosphere)"
"399" "Limnohabitans" FALSE FALSE FALSE
"400" "Litorilinea" TRUE FALSE FALSE
"401" "Longispora" FALSE FALSE FALSE
"402" "Luedemannella" TRUE FALSE FALSE
"403" "Luteimonas" FALSE FALSE FALSE
"404" "Luteivirga" TRUE TRUE FALSE
"405" "Lysinibacillus" FALSE FALSE FALSE
"406" "Lysinimicrobium" TRUE FALSE FALSE
"407" "Lysinimonas" TRUE FALSE FALSE
"408" "Lysobacter" FALSE FALSE FALSE
"409" "Magnetospirillum" TRUE FALSE FALSE
"410" "Mariniflexile" FALSE FALSE FALSE
"411" "Marinobacter" FALSE FALSE FALSE
"412" "Marmoricola" FALSE FALSE FALSE
"413" "Massilia" FALSE FALSE FALSE
"414" "Melghirimyces" TRUE FALSE TRUE
"415" "Membranicola" TRUE FALSE TRUE
"416" "Mesorhizobium" FALSE FALSE FALSE
"417" "Methylibium" TRUE FALSE FALSE
"418" "Methylobacillus" FALSE FALSE FALSE
"419" "Methylobacter" TRUE FALSE FALSE
"420" "Methylobacterium-Methylorubrum" FALSE FALSE FALSE
"421" "Methylocaldum" TRUE FALSE FALSE
"422" "Methyloceanibacter" FALSE FALSE FALSE
"423" "Methylocella" TRUE FALSE TRUE
"424" "Methyloligella" TRUE FALSE TRUE
"425" "Methylomicrobium" TRUE FALSE TRUE
"426" "Methylophaga" FALSE FALSE FALSE
"427" "Methylophilus" FALSE FALSE FALSE
"428" "Methylotenera" FALSE FALSE FALSE
"429" "Methyloversatilis" FALSE TRUE TRUE
"430" "Micavibrio" TRUE FALSE FALSE
"431" "Microbacterium" FALSE TRUE FALSE
"432" "Microbispora" TRUE FALSE TRUE
"433" "Microbulbifer" TRUE FALSE FALSE
"434" "Microcella" TRUE FALSE FALSE
"435" "Micromonospora" FALSE FALSE FALSE
"436" "Micropepsis" TRUE FALSE TRUE
"437" "Microvirga" FALSE FALSE FALSE
"438" "Minicystis" FALSE FALSE FALSE
"439" "mle1-7" FALSE FALSE FALSE
"440" "MM2" FALSE FALSE FALSE
"441" "MND1" FALSE FALSE FALSE
"442" "Mobilitalea" FALSE FALSE FALSE
"443" "Mogibacterium" TRUE FALSE TRUE
"444" "Moheibacter" TRUE FALSE TRUE
"445" "Mongoliitalea" FALSE FALSE TRUE
"446" "Monoglobus" TRUE FALSE TRUE
"447" "Mumia" TRUE FALSE TRUE
"448" "Mycobacterium" FALSE FALSE FALSE
"449" "Mycoplana" FALSE FALSE FALSE
"450" "Myxococcus" FALSE FALSE FALSE
"451" "Nafulsella" FALSE TRUE TRUE
"452" "Nakamurella" TRUE FALSE FALSE
"453" "Nannocystis" FALSE FALSE FALSE
"454" "Natranaerovirga" TRUE FALSE TRUE
"455" "Neo-b11" TRUE TRUE FALSE
"456" "Neochlamydia" FALSE FALSE FALSE
"457" "Neorhizobium" FALSE FALSE FALSE
"458" "Nesterenkonia" FALSE TRUE TRUE
"459" "Nevskia" TRUE TRUE FALSE
"460" "Niastella" FALSE FALSE FALSE
"461" "Nitritalea" TRUE FALSE FALSE
"462" "Nitrobacter" TRUE FALSE FALSE
"463" "Nitrosomonas" FALSE FALSE FALSE
"464" "Nitrosospira" FALSE FALSE FALSE
"465" "Nitrospira" FALSE FALSE FALSE
"466" "Niveispirillum" TRUE TRUE FALSE
"467" "NK4A214 group" TRUE FALSE TRUE
"468" "Nocardia" FALSE FALSE FALSE
"469" "Nocardioides" FALSE FALSE FALSE
"470" "Nocardiopsis" TRUE FALSE FALSE
"471" "Nonomuraea" FALSE FALSE FALSE
"472" "Nordella" FALSE FALSE FALSE
"473" "Novibacillus" FALSE FALSE FALSE
"474" "Noviherbaspirillum" FALSE FALSE FALSE
"475" "Novosphingobium" FALSE FALSE FALSE
"476" "NS10 marine group" TRUE TRUE FALSE
"477" "Nubsella" FALSE FALSE FALSE
"478" "Oblitimonas" TRUE FALSE TRUE
"479" "Oceanicella" TRUE TRUE FALSE
"480" "Oceanobacillus" FALSE FALSE FALSE
"481" "Ochrobactrum" FALSE FALSE FALSE
"482" "Oerskovia" FALSE FALSE TRUE
"483" "Ohtaekwangia" FALSE FALSE FALSE
"484" "Oikopleura" FALSE FALSE FALSE
"485" "OLB12" FALSE FALSE FALSE
"486" "OLB8" TRUE TRUE FALSE
"487" "Oleiphilus" TRUE FALSE TRUE
"488" "Oligoflexus" FALSE FALSE FALSE
"489" "Oligotropha" FALSE TRUE FALSE
"490" "Olivibacter" FALSE TRUE TRUE
"491" "Olsenella" TRUE FALSE FALSE
"492" "OM27 clade" FALSE FALSE FALSE
"493" "OM60(NOR5) clade" FALSE FALSE FALSE
"494" "Ornithinibacillus" TRUE FALSE FALSE
"495" "Ornithinibacter" FALSE FALSE FALSE
"496" "Ornithinicoccus" TRUE FALSE TRUE
"497" "Orrella" TRUE TRUE FALSE
"498" "Oryzihumus" TRUE FALSE FALSE
"499" "Oscillochloris" TRUE FALSE TRUE
"500" "Owenweeksia" TRUE TRUE FALSE
"501" "Oxalicibacterium" TRUE FALSE FALSE
"502" "Oxalophagus" TRUE FALSE TRUE
"503" "Oxobacter" FALSE FALSE FALSE
"504" "P3OB-42" FALSE FALSE FALSE
"505" "Paenarthrobacter" FALSE FALSE FALSE
"506" "Paenibacillus" FALSE FALSE FALSE
"507" "Paeniclostridium" TRUE FALSE FALSE
"508" "Paeniglutamicibacter" FALSE TRUE FALSE
"509" "Paenirhodobacter" TRUE FALSE FALSE
"510" "Paenisporosarcina" FALSE FALSE FALSE
"511" "Pajaroellobacter" FALSE FALSE FALSE
"512" "Panacagrimonas" FALSE FALSE FALSE
"513" "Papillibacter" FALSE FALSE FALSE
"514" "Parachlamydia" TRUE FALSE TRUE
"515" "Paraclostridium" FALSE FALSE FALSE
"516" "Paracoccus" FALSE TRUE FALSE
"517" "Parafilimonas" TRUE FALSE TRUE
"518" "Parasegetibacter" FALSE FALSE FALSE
"519" "Parasporobacterium" TRUE FALSE TRUE
"520" "Parvibaculum" FALSE FALSE FALSE
"521" "Parviterribacter" TRUE FALSE FALSE
"522" "Pasteuria" FALSE TRUE TRUE
"523" "Patulibacter" FALSE FALSE FALSE
"524" "Paucibacter" FALSE FALSE FALSE
"525" "Paucisalibacillus" TRUE FALSE TRUE
"526" "Pedobacter" FALSE FALSE FALSE
"527" "Pedococcus-Phycicoccus" FALSE TRUE FALSE
"528" "Pedomicrobium" FALSE FALSE FALSE
"529" "Pedosphaera" TRUE FALSE FALSE
"530" "Pelagibacterium" FALSE FALSE FALSE
"531" "Pelagibius" TRUE FALSE FALSE
"532" "Pelosinus" TRUE FALSE FALSE
"533" "Pelospora" TRUE FALSE TRUE
"534" "Pelotomaculum" FALSE FALSE FALSE
"535" "Peptoniphilus" FALSE FALSE TRUE
"536" "Peredibacter" FALSE FALSE FALSE
"537" "Permianibacter" FALSE FALSE FALSE
